161-0	A food allergy is an abnormal immune response to food. The symptoms of the allergic reaction may range from mild to severe. They may include itchiness, swelling of the tongue, vomiting, diarrhea, hives, trouble breathing, or low blood pressure. This typically occurs within minutes to several hours of exposure. When the symptoms are severe, it is known as anaphylaxis. A food intolerance and food poisoning are separate conditions, not due to an immune response. Early exposure to potential allergens may be protective. Management primarily involves avoiding the food in question and having a plan if exposure occurs. This plan may include giving adrenaline (epinephrine) and wearing medical alert jewelry. The benefits of allergen immunotherapy for food allergies is unclear, thus is not recommended as of 2015[update]. Some types
161-1	of food allergies among children resolve with age, including those to milk, eggs, and soy; while others such as to nuts and shellfish typically do not. In the developed world, about 4% to 8% of people have at least one food allergy. They are more common in children than adults and appear to be increasing in frequency. Male children appear to be more commonly affected than females. Some allergies more commonly develop early in life, while others typically develop in later life. In developed countries, more people believe they have food allergies when they actually do not have them. In some cases, however, onset of symptoms may be delayed for hours. Symptoms can vary. The amount of food needed to trigger a reaction also varies. Serious danger regarding
161-2	allergies can begin when the respiratory tract or blood circulation is affected. The former can be indicated through wheezing and cyanosis. Poor blood circulation leads to a weak pulse, pale skin and fainting. A severe case of an allergic reaction, caused by symptoms affecting the respiratory tract and blood circulation, is called anaphylaxis. When symptoms are related to a drop in blood pressure, the person is said to be in anaphylactic shock. Anaphylaxis occurs when IgE antibodies are involved, and areas of the body that are not in direct contact with the food become affected and show symptoms. Those with asthma or an allergy to peanuts, tree nuts, or seafood are at greater risk for anaphylaxis. Allergic reactions are abnormal immune responses that develop after exposure to a
161-3	"given food allergen. Food allergens account for about 90% of all allergic reactions. The most common food allergens include milk, eggs, peanuts, tree nuts, fish, shellfish, soy, and wheat, which are referred to as ""the big eight"". In April of 2021, President Joe Biden signed the FASTER Act into law. This landmark food allergy law recognizes sesame as the ninth mandatory food label allergen. It also encourages research that will improve the quality of life for food allergy families, and that could potentially lower the rates of future food allergies. Peanuts, a member of the legume family, are one of the most common food allergens that induce reactions in both children and adults. Affecting about 2% of the Western population, peanut allergies tend to cause more severe reactions"
161-4	and anaphylaxis than other food allergies. Tree nuts, including almonds, brazil nuts, cashews, coconuts, hazelnuts, macadamia nuts, pecans, pistachios, pine nuts, and walnuts, are also common allergens. Affected individuals may be sensitive to one particular tree nut or many different ones. Peanuts and seeds, including sesame seeds and poppy seeds, can be processed to extract oils, but trace amounts of protein may also elicit an allergic reaction. Peanut and tree nut allergies are lifelong conditions for the majority of those affected, although evidence shows that ~20% of those with peanut allergies and 9% of those with tree nut allergies may outgrow them. Egg allergies affect about one in 50 children but are frequently outgrown when children reach age five. Affected individuals can be sensitive to proteins both in
161-5	the egg white and egg yolk, but most children are allergic to those in the white while most adults are allergic to those in the yolk. Cow's milk is the most common food allergen in infants and young children, yet many adults are also sensitized to cow's milk. Many affected individuals cannot tolerate dairy products such as cheese and yogurt. A small portion of children with milk allergy, roughly 10%, have a reaction to beef because it contains small amounts of protein that are also present in cow's milk. Shellfish, which are divided into crustaceans (shrimp, crab, lobster, etc.) and mollusks (mussel, oyster, scallop, squid, octopus, snail, etc.), are the most common food allergy in adults. People may be allergic to other types of seafood, such as fish.
161-6	"Fish allergies were found to be more common in countries that have high fish consumption compared to those with lower consumption. Other common food allergens include soy and wheat. Those allergic to wheat may be sensitized to any protein in the wheat kernel. To a lesser frequency, people may be mildly allergic to raw fruits and vegetables, a disease known as oral allergy syndrome. Less common allergens include maize, spices, synthetic and natural colors, and chemical additives. Balsam of Peru, which is in various foods, is in the ""top five"" allergens most commonly causing patch test reactions in people referred to dermatology clinics. Exposure to certain food proteins triggers the production of antigen-specific immunoglobulin E (IgE) antibodies, which, if unaccompanied by allergic symptoms, is known as allergic sensitization."
161-7	Oral ingestion is the main sensitization route for most food allergy cases, yet other routes of exposure include inhalation and skin contact. For example, inhaling airborne particles in a farm-scale or factory-scale peanut shelling/crushing environment, or from cooking, can induce respiratory effects in allergic individuals. Furthermore, peanut allergies are much more common in adults who had oozing and crusted skin rashes as infants, suggesting that impaired skin may be a risk factor for sensitization. An estimated 28.5 million people worldwide are engaged in the seafood industry, which includes fishing, aquaculture, processing and industrial cooking. In these occupational settings, individuals with fish and shellfish allergies are at high risk of exposure to allergenic proteins via aerosolization. Respiratory symptoms may be induced by inhalation of wet aerosols from fresh fish
161-8	"handling, inhalation of dry aerosols from fishmeal processing, and dermal contact through skin breaks and cuts. Another occupational food allergy that involves respiratory symptoms is ""baker's asthma,"" which commonly develops in food service workers who work with baked goods. Previous studies detected 40 allergens from wheat, some cross-reacted with rye proteins and a few cross-reacted with grass pollens. Allergic sensitization can occur via skin antigen exposure, which usually manifests as hives. The skin has been suggested to be a critical sensitization route for peanut-allergic individuals. Peanut allergies are much more common in adults who had oozing and crusted skin rashes as infants, reinforcing that those with disrupted epithelial barriers, notably the skin barrier, are more prone to skin sensitization. Environmental factors, such as exposure to food, microorganisms, creams,"
161-9	and detergents, may lead to skin barrier dysfunction. Several studies reveal that children exposed to skin creams containing peanut oil are reported to have a higher risk of peanut allergy, suggesting that impaired skin may be a risk factor for sensitization. Some children who are allergic to cow's milk protein also show a cross-sensitivity to soy-based products. Some infant formulas have their milk and soy proteins hydrolyzed, so when taken by infants, their immune systems do not recognize the allergen and they can safely consume the product. Hypoallergenic infant formulas can be based on proteins partially predigested to a less antigenic form. Other formulas, based on free amino acids, are the least antigenic and provide complete nutritional support in severe forms of milk allergy. Histamine, the structure shown,
