ID,Title,Context,Satya,Satvika,Aquib,
72013152,Sarno (surname),Sarno is an Italian surname. Notable people with the name include:,0,0,0,0
63727016,Super Bowl LX,"Super Bowl LX is the planned championship game of the National Football League (NFL) for the 2025 season. It will be the 60th Super Bowl and the game is scheduled to be played on February 8, 2026 at Levi's Stadium in Santa Clara, California. 
This will be the second Super Bowl that Levi's Stadium will host, the first time being Super Bowl 50 ten years earlier. The game will be televised nationally by NBC.
Host selection.
The league has made all decisions regarding hosting sites from Super Bowl LVII (held in February 2023) onward. There is no bidding process per se: the league selects a potential venue unilaterally, the chosen team puts together a hosting proposal, and then the league owners vote to determine on whether it is acceptable.
On May",1,1,1,3
71924363,1958–1975 Wollo–Tigray famine,"famines and coordinate international assistance. The Wollo famine was widely blamed on drought, however was mainly a result of terrible government response, an impoverished social system, and a cover-up by the government. 
The famine also affected Afar pastoralists during early 1972. The Afars used posture over the large area to support their herds. The drought forced them to move into Tcheffa Valley, on the rift valley escarpment, and pasture along the inland delta of the Awash River where water was abandoned to the desert. The valley was the location of sorghum farmland in the 1960s, where small farmers in its vicinity moved to the area for commerce. Meanwhile, large cotton plantations developed along Awash River. By 1972, 50,000 hectares of irrigated land had displaced 20,000 Afar pastoralists. In",0,0,0,0
71880606,The Dumping Ground (series 10),"The tenth series of the British children's television series ""The Dumping Ground"" began broadcasting on 30 September 2022 on CBBC and ended on 23 June 2023. The series follows the lives of the children living in the fictional children's care home of Ashdene Ridge, nicknamed by them ""The Dumping Ground"". It is set to consist of twenty thirty-minute episodes. It is the 20th series in The Story of Tracy Beaker franchise (""The Beaker Girls"" having aired between this and the ninth series).
Episodes.
&lt;onlyinclude&gt;&lt;/onlyinclude&gt;",1,1,0,2
51267558,Navigation season,"on the Baltic Sea from Cathedra Petri (February 22) to St. Martin's Day. The season in the North Sea was even shorter, from one Feast of the Cross (Invention of the Cross on May 3) to another (Exaltation of the Cross on September 14).
USA.
Multiple Rivers and Harbors Acts left the administration of navigation on the major US waterways, including the commencement and closing of the navigation season, to the U.S. Army Corps of Engineers (USACE).",0,0,0,0
72877634,Murder of Yang Xin,"family"". It was the first murder on the campus since the 2007 Virginia Tech shooting.",0,0,0,0
71827256,Elizabeth Kemper Adams,"nationally, including to Hawaii, as a Girl Scouting leader in 1924, and co-wrote a study of leadership training for the Girl Scouts in 1927.
Personal life.
Adams died in Brattleboro, Vermont in 1948, at the age of 76, after a long illness. Her grave is in Conway, Massachusetts. The historical society in Conway has an unpublished manuscript of later poetry by Adams.",1,1,0,2
71573267,1883 AAA Championships,"Palmer (Cambridge Un. AC) led at the final hurdle but was caught on the line by William Pollock (St George's Hospital AC) and the result was declared a dead heat with Charles Lockton (London AC) a distant third. The deciding tie was won in a new championship best time by Palmer who hurdled ""like a deer"" and left Pollock a yard and a half behind.
The 1 mile had been a highly anticipated duel between two of the fastest milers in the world at that time. But Walter George (Moseley H.), the world record holder, was clearly not at his best and William Snook simply took the lead from the gun and then responded swiftly to every move George made to overtake and won easily by eight yards. Snook",1,0,0,1
73612554,First Love (2022 film),"First Love is a 2022 American romance film written and directed by A. J. Edwards and starring Diane Kruger, Hero Fiennes Tiffin, Sydney Park and Jeffrey Donovan.
Production.
In May 2021, it was announced that filming occurred in Los Angeles.
The film's score was originally composed by Richard Reed Parry, but it was replaced with a score by George Kallis.
Release.
The film was released in the United States on June 17, 2022 in theaters and on demand. The film was also released in South Africa on June 24, 2022.
Reception.
The film has a 40% rating on Rotten Tomatoes based on five reviews.
Matt Zoller Seitz of ""RogerEbert.com"" awarded the film two and a half stars and wrote, ""The untapped potential here is considerable, though the cinematography and performances ensure that the film remains watchable.""",0,0,0,0
74336287,Wally Tittleton,"""scored a good try between the posts"" with the conversion tying the score at 5–5.
He scored again in a 24–6 win over City for Richmond on May 15. He kicked well, using ""the short punt to advantage, and often had City defending. On one occasion Tittleton kicked judiciously, Mincham racing 40 yards to touch down for a fine solo try"". In Richmond's 14–9 win over Newton in round 5 he was ""outstanding"". A week later in a 15–6 win over Ponsonby he was the pick of the backs along with Noel Bickerton.
Tittleton was selected to play for Auckland against Taranaki on June 9 at Carlaw Park. The match was played on King's Birthday with Tittleton again at second five eighth with W. Stockley at five eighth. Auckland won",1,0,0,1
71856608,Russell Weir,"Scottish PGA Championship, although he was twice a runner-up, behind Drummond in 1987 and Sam Torrance in 1991. Weir won the Scottish region Order of Merit five times, in 1983, 1986, 1988, 1990 and 1993.
Weir was twice winner of the PGA Club Professionals' Championship, in 1987 and 1988. At Sandiway in 1987 he won by two strokes from John Hoskison and David Huish, despite taking seven at the par-3 13th in the final round. In 1988 at Royal St David's he won by eight strokes from Ged Furey. In the 1987 Scottish Open Weir had a final round 66 to finish tied for 15th place. He gained an entry into the Open Championship at Muirfield the following week, as one of the leading five not already qualified. The",1,0,0,1
73335689,Certificate revocation,"proposal to solve this involves submitting 'postcertificates' to Certificate Transparency logs for each revocation, which would also allow revocation to be performed without action by a CA; an alternative proposal, also based around Certificate Transparency, involves CRVs being sent to the CT logs by CAs.
Informing clients.
Considerations.
Failure model.
If revocation status is unavailable (which may be benign or due to an attack), a client is faced with a dilemma when evaluating a certificate: it may ""fail-soft"" and assume that the certificate is still valid; or it may ""fail-hard"" and assume that the certificate has been revoked. This is a trade-off between security and availability: failing-soft allows downgrade attacks, while failing-hard allows denial of service (from attacks) or causes unavailability.
An attacker with the ability to present a compromised certificate likely also",0,0,0,0
73040638,12° of Freedom,"12° of Freedom (also listed as ""12 Degrees of Freedom"") is the debut album by the Chicago Underground Duo, featuring multi-instrumentalists Rob Mazurek and Chad Taylor. It was recorded during January and June 1997 at three different locations, and was released in 1998 by the Thrill Jockey label. Guitarist Jeff Parker also appears on three tracks.
In an interview, Mazurek stated that his music is ""a protest against anything or anybody that wants to put up some kind of barrier between total creativity,"" and remarked: ""The first Chicago Underground record is called ""12 Degrees of Freedom"". It has those same precepts, not just in music but dealing with psychology, spirituality, the whole thing.""
Reception.
The editors of ""The Wire"" included the album in their 1998 Rewind, listing the year's 50 best",0,1,0,1
73522227,Turin Massacre (1864),"on January 23, but it was decided on Bettino Ricasoli's proposal that no decision would be made.
Protests of January 1865.
The Chamber's decision not to consider the inquiry committee's report sparked new protests.
On the evening of January 25, a group of students demonstrated without incident in favor of the mayor and the deputies who had supported the reasons of the people of Turin during the debates in the Chamber. There was speculation that the city administration might resign as a sign of protest. Despite fears of the worsening situation, the demonstrations on the evening of the 26th also took place without incident.
Various articles from those days, while urging calm, served to stir up tempers. There was also a collection of signatures to urge senators to vote for the inquiry",1,0,0,1
73288581,UK Petroleum Industry Association,"The UK Petroleum Industry Association (UKPIA) is a trade body representing downstream companies in the oil and gas sector in the UK. The current Chief Executive is Elizabeth de Jong.
The trade body's website says that ""we and our members are committed to taking a leadership role in shaping a flexible and resilient fuels future for UK industry and ensuring the downstream fuels sector continues to play a part in tomorrow's sustainable, energy-secure landscape"".
In written evidence to Parliament in 2021, UKPIA said that it represents ""eight oil refining, distribution and marketing companies that operate the six major oil refineries in the UK and source over 85% of the transport fuels used. UKPIA members also own and operate multiple oil terminals and oil pipelines"".
UKPIA publishes reviews and statistical studies about",0,0,0,0
74310231,Drue Hackenberg,"Drue David Hackenberg (born April 1, 2002) is an American professional baseball pitcher in the Atlanta Braves organization.
Amateur career.
Hackenberg played baseball and football at Fork Union Military Academy, then transferred to The Miller School of Albemarle, where he was coached by Billy Wagner. In Hackenberg's first season at Virginia Tech, he pitched innings and recorded a 3.30 ERA that led him to earn All-ACC First Team and Freshman All-American honors. In 2023, Hackenberg pitched innings and produced a 5.70 ERA. In Hackenberg's college career, he pitched 178 innings, with a win–loss record of 15–10 in 31 appearances, and struck out 186 batters.
Professional career.
He was drafted by the Atlanta Braves in the 2023 Major League Baseball draft. On July 13, Hackenberg signed with the Braves for an over slot",1,1,1,3
72417132,2014 European Wrestling Championships – Men's Greco-Roman 75 kg,"The Men's Greco-Roman 75 kg is a competition featured at the 2014 European Wrestling Championships, and was held in Vantaa, Finland on 5 April 2014.",0,0,0,0
