4.1	what is the term for the ways in which fashion brands engage and establish connections with their
4.2	what is a dynamic and constantly evolving field of communication
4.3	what is unique about fashion brands that sets them apart from other industries
28.1	where do they film the senate floor
28.2	when did they stop filming the senate
40.1	when was the cathedral of brixen moved to bolzano
40.2	what was the original name of the cathedral of brixen
40.3	in which italian region is the cathedral of brixen
40.4	what is the name of the cathedral in south tyrol italy
45.1	who is the left back for martigues
45.1	footballer lassana diakhaby was born in which country
45.3	who does lassana diakhaby play for
45.4	lassana diakhaby plays for which championnat national club
50	how many times has sri lanka won the t20 world cup
98.4.1	how many seats are there in kazakhstan in 2023
98.4.2	when will local elections be held in kazakhstan
98.4.3	what is the basis for local elections in kazakhstan
98.4	how many mäslihats are there in kazakhstan
157	when does rob wilkinson start his 2023 season
192.1	when did the komer family buy the berkley theater
192.2	what type of furnace was used in the berkley theater
227.1	who was the canadian politician who died in 2003
227.2	when did lewis clark die
227.3	what nationality was politician lewis clark 
248.1	who was hanged for the murder of john harrison packard
248.2	for what crime was w. p. auld convicted
303.1	who won the first gold medal for north korea at the world gymnastics championships
303.2	when was the first time north korea won a world championship
303.3	how old was kim gwang-suk when she won her first world
303.4	who was the first north korean to win a world championship
303.5	what was the first medal won by north korea at the world gymnastics championships
303.6	who banned the north korean women's team from competing at the 1993 world championships
351	when is the exaltation of the cross
366.1	when did the pacific patrol boat program start
366.2	which cyclone destroyed the rvs takuare
366.3	how many patrol boats are there on the pacific island
366.4	what is the name of the patrol boat program launched by the australian government in
394.1	how much of the vote did simon ibo get in 2003
394.2	when will simon ibo die in nigeria
394.3	how old was simon ibo when he died
394.4	how much of the first round vote did simon ibo get in 2007
394.5	what was simon ibo convicted of in 2003
394.6	how much of the vote did simon ibo win in 2015
521	what was used in the pietermaritzburg treason trial
546.1	who suggested the creation of radio ceredigion
546.2	when did radio ceredigion start broadcasting
546.3	in which welsh town was elvey macdonald born
546.4	in which country was elvey macdonald born
546.5	which radio station was founded by elvey macdonald in 1992
547.1	who was the wife of radio ceredigion presenter elvey macdonald
547.2	where did elvey macdonald live in wales
558	when was the deepest cave dive in new zealand
620.1	who wrote et quadraturis
620.2	who was the bishop of norwich who founded the shotesham park hospital in 17
620.3	when was the norfolk and norwich hospital built
620.4	who was the physician who founded the shotesham park hospital
620.5	in which year did benjamin gooch, bishop of norwich, die
